"","(Intercept)","Dev_1","Dev_1:LHSCategory","mean_temp","LarvalHabitatCategory:mean_temp","LHSCategory:mean_temp","Dev_10","Dev_10:LHSCategory","meanLight","LarvalHabitatCategory:meanLight","meanLight:VoltinismCategory","family","df","logLik","AICc","delta","weight"
"model10reduced",0.310373339576787,NA,NA,NA,NA,NA,-0.213136678112896,"+",NA,NA,NA,"Negative Binomial(0.8274,log)",7,-645.811116015374,1305.98705287765,0,0.752906611565887
"model30reduced",0.292863302036655,NA,NA,-0.117904445220445,"+",NA,-0.510723226677492,NA,NA,NA,NA,"Negative Binomial(0.8149,log)",8,-646.076020654174,1308.62262954364,2.6355766659874,0.201573255319265
"model2reduced",0.329998896075024,-0.536216924900083,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Negative Binomial(0.7457,log)",4,-652.281569108074,1312.69217047421,6.70511759655938,0.0263477372913449
"model1reduced",0.324632489992147,-0.215629889492326,"+",NA,NA,NA,NA,NA,NA,NA,NA,"Negative Binomial(0.7747,log)",7,-649.600967903642,1313.56675665419,7.57970377653646,0.0170148979454012
"model3reduced",0.291760173452579,-0.43546655714241,NA,-0.18339699262998,"+","+",NA,NA,NA,NA,NA,"Negative Binomial(0.792,log)",11,-647.412874912278,1317.69703695327,11.7099840756146,0.0021574978781019
"model20reduced",0.203642739497169,NA,NA,-0.266896754903672,NA,NA,-0.150555264315729,NA,-0.919478522100145,"+","+","poisson(log)",9,-1455.45383033674,2929.49782460791,1623.51077173026,0
