"node","estimated"
"Neoptera ott815350",383
"Holometabola ott1082885",344
"mrcaott100ott387",333
"mrcaott401ott409",193
"mrcaott405ott1335",256
"mrcaott1335ott2288",256
"Adephaga ott413458",210
"Dytiscinae ott331599",85
"Neuropterida ott779644",258
"Corydalidae ott1062255",144
"mrcaott1682ott7438",18.1
"Panheteroptera ott291356",246
"mrcaott9044ott15824",91
"Cicadomorpha (infraorder in suborder Auchenorrhyncha) ott7459754",261
"mrcaott3873ott5055",299
"mrcaott27633ott38911",210
